unixtime,price,amount
1474897402,603.37,0.1
1474897402,603.4,8.33678782
1474897410,603.4,0.202
1474897516,603.25,0.91123165
1474897559,603.25,8.035
1474897639,603.0,0.009
1474897646,602.96,3.61705622
1474897673,602.95,0.1
1474897673,602.95,0.1
1474897673,602.92,0.1
1474897673,602.88,1.07257873
1474897673,602.87,4.6
1474897673,602.86,7.33633195
1474897678,603.0,0.009
1474897695,603.0,0.03
1474897715,603.0,0.03
1474897727,603.0,0.228134
1474897731,603.02,0.1
1474897792,602.85,3.8
1474897792,602.84,4.61
1474897792,602.78,3.3658
1474897792,602.75,2.45737713
1474897798,602.75,3.418
1474897802,602.75,2.87546415
1474897803,603.25,2.677
1474897808,602.55,0.01
1474897810,603.23,1.07753262
1474897810,603.25,1.79746738
1474897813,603.25,0.313096
1474897885,602.9,7.913
1474897926,602.9,0.07951544
1474897930,602.9,8.037
1474897932,602.9,0.035
1474897936,602.9,0.01996
1474897939,602.9,0.53668259
1474897952,602.9,4.502
1474897992,602.9,0.110563
1474898002,602.9,0.01996
1474898003,602.9,0.274552
1474898052,602.9,8.037
1474898077,602.9,0.19947
1474898163,602.9,3.13529697
1474898219,602.92,1.07782928
1474898219,602.9,0.10463072
1474898254,603.23,0.1
1474898254,603.25,2.306
1474898255,602.87,0.2627
1474898256,602.9,0.2627
1474898284,603.24,0.1
1474898284,603.25,0.13907
1474898325,602.92,0.1
1474898342,602.92,1.1719
1474898353,602.93,0.1
1474898353,603.25,4.321
1474898432,603.25,0.00013497
1474898433,603.39,0.2
1474898433,603.92,0.62597695
1474898444,603.25,0.01
1474898464,603.96,1.07623021
1474898464,603.98,0.92376979
1474898603,603.25,1.93048801
1474898605,603.4,1.70689426
1474898655,603.4,8.037
1474898737,603.4,0.38700296
1474898746,603.4,1.0
1474898783,603.4,0.799959
1474898873,603.0,0.03
1474898874,602.91,0.001
1474898883,603.4,1.124
1474898898,603.4,6.74914378
1474898898,603.95,0.2
1474898898,603.96,0.2
1474898898,603.97,0.2
1474898898,603.98,6.14836572
1474898908,602.91,0.01
1474898952,603.98,0.07
1474898952,603.98,0.12555186
1474898962,603.99,0.0083114
1474898997,603.0,0.03
1474898998,602.91,0.089
1474898998,602.89,0.0894714
1474898999,602.89,0.07
1474899043,603.0,0.01575313
1474899063,603.0,0.18506427
1474899063,603.1,2.98493573
1474899076,603.1,0.082618
1474899093,603.1,0.1032715
1474899163,603.0,0.01
1474899165,602.82,0.02089238
1474899196,603.1,0.00832366
1474899221,603.1,0.68646991
1474899249,603.1,1.755
1474899345,603.1,0.03602061
1474899364,603.1,1.34336059
1474899364,603.23,0.1
1474899365,603.24,0.1
1474899365,603.25,1.55963941
1474899383,603.25,0.50894577
1474899452,603.25,0.206544
1474899452,602.82,0.07910762
1474899452,602.77,1.62131759
